Title,nbrAvis,specialite,ranking,overallRating,wifi,livraison,prix,Latitude,Longitude,district
 
le Neuvième Art,626 avis ,Française  Européenne  Végétariens bienvenus,Nº 1 sur 3 058 Restaurants à Lyon,5.0 ,yes,yes,85 € -145 €,45.76849365234375,4.85646390914917,69006  Lyon  
Aromatic,601 avis ,Française  Européenne  Végétariens bienvenus,Nº 2 sur 3 058 Restaurants à Lyon,5.0 ,yes,no,18 € -41 €,45.77438735961914,4.830961227416992,69004  Lyon  
Le Boeuf d'Argent,482 avis ,Française  Européenne  Végétariens bienvenus,Nº 3 sur 3 058 Restaurants à Lyon,4.5 ,no,no,no informations,45.76266098022461,4.826900005340576,69005  Lyon  
Le Comptoir des Cousins,205 avis ,Française  Européenne  Sud-américaine,Nº 4 sur 3 058 Restaurants à Lyon,5.0 ,yes,no,13 € -28 €,45.76849365234375,4.85646390914917,69006  Lyon  
Le Book-Lard,204 avis ,Française  Brasserie gastronomique  Végétariens bienvenus,Nº 5 sur 3 058 Restaurants à Lyon,5.0 ,yes,no,13 € -40 €,45.76708984375,4.845279216766357,69006  Lyon  
L'Archange,946 avis ,Française  Européenne,Nº 6 sur 3 058 Restaurants à Lyon,4.5 ,no,no,no informations,45.76845932006836,4.827991008758545,69001  Lyon  
Le Musée ,1 406 avis ,Française,Nº 7 sur 3 058 Restaurants à Lyon,4.5 ,no,no,no informations,45.76485824584961,4.833683013916016,69002  Lyon  
Epicurius,91 avis ,Méditerranéenne  Végétariens bienvenus,Nº 8 sur 3 058 Restaurants à Lyon,5.0 ,no,no,no informations,45.76605987548828,4.8321309089660645,69001  Lyon  
Cercle Rouge,111 avis ,Française  Internationale  Barbecue/Grillades,Nº 9 sur 3 058 Restaurants à Lyon,5.0 ,yes,no,12 € -35 €,45.76668930053711,4.837160110473633,69001  Lyon  
Le Zeste Gourmand,91 avis ,Française,Nº 10 sur 3 058 Restaurants à Lyon,5.0 ,yes,no,28 € -62 €,45.76849365234375,4.85646390914917,69006  Lyon  
Les Saveurs Du Bistrot,294 avis ,Française  Européenne,Nº 11 sur 3 058 Restaurants à Lyon,4.5 ,yes,yes,14 € -25 €,45.768924713134766,4.856989860534668,69006  Lyon  
Le Suprême,203 avis ,Française  Européenne  Brasserie gastronomique,Nº 12 sur 3 058 Restaurants à Lyon,5.0 ,no,no,no informations,45.75132751464844,4.855055809020996,69007  Lyon  
Flair,636 avis ,Française  Européenne  Internationale,Nº 13 sur 3 058 Restaurants à Lyon,4.5 ,no,no,16 € -44 €,45.74928665161133,4.829628944396973,69002  Lyon  
La Bouteillerie,281 avis ,Française  Bar à vins,Nº 14 sur 3 058 Restaurants à Lyon,4.5 ,no,no,12 € -23 €,45.76845932006836,4.827991008758545,69001  Lyon  
L'Instant Fromage,533 avis ,Française  Végétariens bienvenus,Nº 15 sur 3 058 Restaurants à Lyon,4.5 ,yes,no,2 € -25 €,45.75538635253906,4.830474853515625,69002  Lyon  
Cafe Luna,183 avis ,Française  Méditerranéenne  Européenne,Nº 16 sur 3 058 Restaurants à Lyon,4.5 ,yes,no,7 € -18 €,45.759132385253906,4.823150157928467,69005  Lyon  
Bmd,204 avis ,Française  Bar à vins,Nº 17 sur 3 058 Restaurants à Lyon,4.5 ,no,no,9 € -25 €,45.76337432861328,4.827271938323975,69005  Lyon  
Takao Takano,658 avis ,Française  Européenne,Nº 18 sur 3 058 Restaurants à Lyon,4.5 ,no,no,no informations,45.769676208496094,4.8437042236328125,69006  Lyon  
L'émulsion,211 avis ,Française  Moderne  Diner,Nº 1 sur 22 Restaurants à Chassieu,4.5 ,yes,no,18 € -25 €,45.7376823425293,4.968141078948975,69680 Chassieu  Lyon  
Burgundy Lounge,676 avis ,Française  Européenne  Végétariens bienvenus,Nº 20 sur 3 058 Restaurants à Lyon,4.5 ,yes,no,29 € -95 €,45.761531829833984,4.832685947418213,69002  Lyon  
Le Comptoir Des Copains,125 avis ,Française  Végétariens bienvenus,Nº 21 sur 3 058 Restaurants à Lyon,4.5 ,no,no,11 € -15 €,45.76654815673828,4.83282995223999,69001  Lyon  
Le Poivron Bleu,434 avis ,Française  Européenne,Nº 22 sur 3 058 Restaurants à Lyon,4.5 ,no,no,no informations,45.768924713134766,4.856989860534668,69006  Lyon  
Danton...restaurant,646 avis ,Française  Européenne,Nº 23 sur 3 058 Restaurants à Lyon,4.5 ,no,no,21 € -47 €,45.75603485107422,4.85908317565918,69003  Lyon  
L'Atelier Côté Rhône,247 avis ,Française  Bar à vins  Européenne,Nº 24 sur 3 058 Restaurants à Lyon,4.5 ,no,no,Bar à vins,45.75843811035156,4.841518878936768,69003  Lyon  
Le Tiroir,105 avis ,Française  Moderne  Pub,Nº 25 sur 3 058 Restaurants à Lyon,4.5 ,yes,no,16 € -40 €,45.77445983886719,4.808450222015381,69009  Lyon  
Miko Sushi,424 avis ,Japonaise  Sushi  Asiatique,Nº 26 sur 3 058 Restaurants à Lyon,4.5 ,no,no,no informations,45.75627136230469,4.8627471923828125,69003  Lyon  
L'inaTTendu,424 avis ,Française  Européenne,Nº 27 sur 3 058 Restaurants à Lyon,4.5 ,no,no,16 € -45 €,45.76849365234375,4.85646390914917,69006  Lyon  
L'ARGOT Boucherie Restaurant,606 avis ,Française  Steakhouse  Européenne,Nº 28 sur 3 058 Restaurants à Lyon,4.5 ,no,no,15 € -30 €,45.76849365234375,4.85646390914917,69006  Lyon  
Le Desjeuneur,154 avis ,Moderne  Française  Café,Nº 29 sur 3 058 Restaurants à Lyon,4.5 ,no,no,4 € -16 €,45.77438735961914,4.830961227416992,69001  Lyon  
Tracteur et Bigoudis,132 avis ,Française,Nº 1 sur 204 Restaurants à Villeurbanne,4.5 ,yes,no,12 € -19 €,45.779048919677734,4.874722957611084,69100 Villeurbanne  Lyon  
Bouchon Des Cordeliers,692 avis ,Française  Européenne,Nº 31 sur 3 058 Restaurants à Lyon,4.5 ,no,no,15 € -25 €,45.76668930053711,4.837160110473633,69002  Lyon  
Au Petit Bouchon Chez Georges,669 avis ,Française  Européenne,Nº 32 sur 3 058 Restaurants à Lyon,4.5 ,no,no,22 € -34 €,45.76668930053711,4.837160110473633,69001  Lyon  
Himalia,119 avis ,Italienne  Pizza  Végétariens bienvenus,Nº 33 sur 3 058 Restaurants à Lyon,4.5 ,yes,yes,8 € -15 €,45.751338958740234,4.830699920654297,69002  Lyon  
Manto,322 avis ,Française  Chinoise  Asiatique,Nº 34 sur 3 058 Restaurants à Lyon,4.5 ,no,no,no information,45.76629638671875,4.831736087799072,69001  Lyon  
Guy Lassausaie,701 avis ,Française  Européenne,Nº 35 sur 3 058 Restaurants à Lyon,4.5 ,no,no,no information,45.838279724121094,4.772992134094238,69380  Lyon  
Au 14 Fevrier Vieux Lyon,449 avis ,Française,Nº 36 sur 3 058 Restaurants à Lyon,4.5 ,no,no,no information,45.759132385253906,4.823150157928467,69005  Lyon  
La Mere Brazier,835 avis ,Française  Européenne  Plats sans gluten,Nº 37 sur 3 058 Restaurants à Lyon,4.5 ,no,no,no information,45.76668930053711,4.837160110473633,69001  Lyon  
Gourmix,574 avis ,Française  Restauration rapide  Européenne,Nº 38 sur 3 058 Restaurants à Lyon,4.5 ,yes,yes,no information,45.76605987548828,4.8321309089660645,69001  Lyon  
Le Gourmet de Sèze,498 avis ,Française  Européenne,Nº 39 sur 3 058 Restaurants à Lyon,4.5 ,yes,no,39 € -120 €,45.76849365234375,4.85646390914917,69006  Lyon  
Les Caprices de Sophie,123 avis ,Française  Européenne,Nº 40 sur 3 058 Restaurants à Lyon,4.5 ,no,no,no information,45.758689880371094,4.816595077514648,69005  Lyon  
Italia e Sapore,409 avis ,Italienne  Pizza  Méditerranéenne,Nº 41 sur 3 058 Restaurants à Lyon,4.5 ,no,no,no information,45.76848602294922,4.8462090492248535,69006  Lyon  
L'Oenothèque de Lyon,273 avis ,Diner  Française,Nº 42 sur 3 058 Restaurants à Lyon,4.5 ,yes,no,11 € -34 €,45.77438735961914,4.830961227416992,69004  Lyon  
Cuisine en Ville,189 avis ,Française  Halal,Nº 2 sur 204 Restaurants à Villeurbanne,4.5 ,yes,no,12 € -20 €,45.770782470703125,4.86366081237793,69100 Villeurbanne  Lyon  
LE 126,231 avis ,Française  Européenne,Nº 44 sur 3 058 Restaurants à Lyon,4.5 ,no,no,16 € -25 €,45.768924713134766,4.856989860534668,69006  Lyon  
Chez Lucien - Bistrotier,118 avis ,Française  Européenne  Diner,Nº 45 sur 3 058 Restaurants à Lyon,4.5 ,yes,no,13 € -32 €,45.77438735961914,4.830961227416992,69004  Lyon  
Mamamia Pizza,567 avis ,Italienne  Pizza  Européenne,Nº 46 sur 3 058 Restaurants à Lyon,4.5 ,no,no,no information,45.73798751831055,4.837673187255859,69007  Lyon  
